,Random Forest | direct_injection,Random Forest | indirect_injection,Random Forest | memory_poisoning,Random Forest | tool_misuse,XGBoost | direct_injection,XGBoost | indirect_injection,XGBoost | memory_poisoning,XGBoost | tool_misuse
defense_active_encoded,0.0,0.0,0.0,0.0,-0.05249999999999997,-0.021078431372549035,-0.0290909090909091,0.048888888888888905
num_events,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_latency_ms,0.032352941176470605,0.10049019607843138,0.08727272727272721,0.03111111111111111,0.03500000000000003,-0.016176470588235303,-0.00874125874125874,0.18
total_input_tokens,0.11398162295221126,0.1002542555483732,0.34843434343434343,-0.19909090909090907,0.3777476780185759,0.06499167499167499,0.19373737373737376,-0.19191919191919188
total_output_tokens,-0.06650326797385617,0.055602240896358554,0.010909090909090901,0.026190476190476198,-0.049705882352941134,0.06235294117647059,-0.06545454545454546,0.1618181818181818
defense_triggered_any,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
defense_max_confidence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
intake_output_tokens,0.12128654970760237,0.2828248222365869,0.2248484848484848,0.07111111111111111,0.1631492948056416,0.17335667600373478,0.10073593073593079,0.1514285714285714
retrieval_output_tokens,-0.09950980392156858,0.13991830065359476,0.3424242424242424,0.035555555555555556,0.04413484692122468,0.0726831501831502,0.012121212121212133,0.0888888888888889
action_output_tokens,-0.0629084967320261,0.04869281045751631,0.0,0.08928571428571429,-0.05249999999999997,-0.10725490196078433,-0.11818181818181817,0.03341269841269843
tool_was_called,0.0,0.0,0.0,0.0,0.010294117647058853,0.0,0.010909090909090924,0.13777777777777778
escalate_called,-0.014379084967320255,0.0,0.0,-0.00714285714285714,0.0,-0.016176470588235303,0.0,-0.00444444444444444
send_email_called,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
memory_write_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
action_latency_ms,-0.05228758169934637,0.04583333333333335,0.09818181818181812,0.0016666666666666718,-0.058333333333333307,-0.021323529411764706,0.0181818181818182,0.0034126984126984284
output_length_ratio,-0.05032679738562089,0.03750000000000001,0.0654545454545454,0.029761904761904767,-0.022499999999999985,0.008088235294117641,-0.010606060606060608,0.031111111111111124
defense_triggered_at_intake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
defense_triggered_at_retrieval,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
